provider,model,n_runs,mean_run_accuracy,std_run_accuracy,rse_std_dev,min_accuracy,max_accuracy,range_accuracy,t_ci_lower,t_ci_upper,total_pooled_accuracy,pooled_ci_lower,pooled_ci_upper
Alibaba Cloud,qwen3_max_2025_09_23,8,0.8769736842105262,0.008967126447482812,0.2672612419124244,0.8649122807017544,0.8912280701754386,0.02631578947368418,0.8694769788935315,0.884470389527521,0.8769736842105263,0.867121488711309,0.8861912700733456
Alibaba Cloud,qwen_plus_2025_09_11,8,0.8375,0.006626810023618151,0.2672612419124244,0.8263157894736842,0.8456140350877193,0.019298245614035037,0.8319598481765897,0.8430401518234103,0.8375,0.8265092406091606,0.8479226010252684
Alibaba Cloud,qwen3_max_preview,8,0.7418859649122808,0.0074690291078624545,0.2672612419124244,0.7298245614035088,0.7543859649122807,0.024561403508771895,0.7356417003138465,0.7481302295107151,0.7418859649122806,0.7289850170075385,0.754379714196344
Alibaba Cloud,qwen_flash_2025_07_28,8,0.680921052631579,0.015075401511413702,0.2672612419124244,0.6526315789473685,0.7,0.047368421052631504,0.668317701566069,0.693524403697089,0.680921052631579,0.6672446861045724,0.6942928508339616
Anthropic,claude_3_5_haiku_20241022,3,0.7584795321637428,0.01362711134237547,0.5,0.7473684210526316,0.7736842105263158,0.02631578947368418,0.7246279109763467,0.7923311533511388,0.7584795321637426,0.7376285172012664,0.7781718186175941
Google AI Studio,gemini_3_pro_preview,8,0.8789473684210526,0.012009171479409466,0.2672612419124244,0.8526315789473684,0.8912280701754386,0.038596491228070184,0.8689074498128274,0.8889872870292778,0.8789473684210526,0.8691595375813457,0.8880972670608203
Google AI Studio,gemini_2_5_pro,8,0.8390350877192982,0.010804592378345784,0.2672612419124244,0.8210526315789474,0.8543859649122807,0.033333333333333326,0.8300022224413203,0.8480679529972762,0.8390350877192982,0.828083902796107,0.8494155300608307
Google AI Studio,gemini_2_5_flash,8,0.7725877192982455,0.010312681747627972,0.2672612419124244,0.7649122807017544,0.7964912280701755,0.03157894736842104,0.7639661015991197,0.7812093369973714,0.7725877192982457,0.7601952707842421,0.784521284869816
Google AI Studio,gemini_2_0_flash,8,0.5598684210526316,0.017251638983558866,0.2672612419124244,0.5228070175438596,0.5789473684210527,0.056140350877193046,0.5454456899299737,0.5742911521752895,0.5598684210526316,0.5454161309989644,0.5742199266788778
Google AI Studio,gemini_2_5_flashlite,8,0.5375000000000001,0.016694673737608818,0.2672612419124244,0.5175438596491229,0.5666666666666667,0.04912280701754379,0.523542903475577,0.5514570965244232,0.5375,0.5230030854144286,0.5519337858782857
